case:concept:name,case:creator,lifecycle:transition,time:timestamp,org:resource,category,application,coordX,coordY,typed_word,screenshot,concept:name,event_src_path,event_dest_path,clipboard_content,xpath,xpath_full,mouse_coord,workbook,current_worksheet,worksheets,sheets,cell_content,cell_range,cell_range_number,window_size,slides,effect,hotkey,id,title,description,browser_url,eventQual,tab_moved_from_index,tab_moved_to_index,newZoomFactor,oldZoomFactor,tab_pinned,tab_audible,tab_muted,window_ingognito,file_size,tag_category,tag_type,tag_name,tag_title,tag_value,tag_checked,tag_html,tag_href,tag_innerText,tag_option,tag_attributes
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:01:30.413,Instalador,MouseClick,SmartRPA,694.0,1044.0,,screenshots\2023-11-08_13-01-27\1_4b9bda88_2023-11-08_13-01-30.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:01:34.943,Instalador,MouseClick,Mozilla Firefox,430.0,79.0,,screenshots\2023-11-08_13-01-27\2_ed120b7f_2023-11-08_13-01-34.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:01:40.837,Instalador,Keyboard,Mozilla Firefox,,,gmail,screenshots\2023-11-08_13-01-27\3_f2e1f06f_2023-11-08_13-01-40.png,keypress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:01:52.025,Instalador,MouseClick,Mozilla Firefox,588.0,468.0,,screenshots\2023-11-08_13-01-27\4_f2e1f06f_2023-11-08_13-01-51.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:01:54.622,Instalador,MouseClick,Gmail — Mozilla Firefox,372.0,45.0,,screenshots\2023-11-08_13-01-27\5_5b7de6a5_2023-11-08_13-01-54.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:01:57.090,Instalador,MouseClick,Mozilla Firefox,398.0,83.0,,screenshots\2023-11-08_13-01-27\6_0d015177_2023-11-08_13-01-57.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:02:02.854,Instalador,Keyboard,Mozilla Firefox,,,marca betis,screenshots\2023-11-08_13-01-27\7_e2a387d5_2023-11-08_13-02-02.png,keypress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:02:06.633,Instalador,MouseClick,Mozilla Firefox,398.0,557.0,,screenshots\2023-11-08_13-01-27\8_82077772_2023-11-08_13-02-06.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:02:10.217,Instalador,MouseClick,Real Betis - Últimas noticias del Real Betis Balompié — Mozilla Firefox,654.0,31.0,,screenshots\2023-11-08_13-01-27\9_b435a01c_2023-11-08_13-02-10.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:02:11.265,Instalador,MouseClick,Mozilla Firefox,641.0,84.0,,screenshots\2023-11-08_13-01-27\10_4abe497a_2023-11-08_13-02-11.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
